name,category,ingredient1,ingredient2,ingredient3,ingredient4,ingredient5,ingredient6
Amaretto Sour,Cordials and Liqueurs,Amaretto,Fresh lemon juice,Simple Syrup,Orange half-wheel,NA,NA
Tailspin Cocktail,Cocktail Classics,Gin,Sweet Vermouth,Green Chartreuse,Orange Bitters,NA,NA
Sweet Patootie Cocktail,Cocktail Classics,Gin,Triple Sec,Orange Juice,NA,NA,NA
Sunshine Cocktail,Cocktail Classics,Sweet Vermouth,Gin,Bitters,NA,NA,NA
Spring Feeling Cocktail,Cocktail Classics,Lemon Juice,Green Chartreuse,Gin,NA,NA,NA
Sphinx Cocktail,Cocktail Classics,Gin,Sweet Vermouth,Dry Vermouth,NA,NA,NA
Jitterbug Sour,Whiskies,Straight rye whiskey,Benedictine,Fresh lemon juice,Honey Syrup,Egg White,Angostura Bitters
Southern Gin Cocktail,Cocktail Classics,Gin,Orange Bitters,Triple Sec,NA,NA,NA
Society Cocktail,Cocktail Classics,Gin,Dry Vermouth,Grenadine,NA,NA,NA
Snyder,Cocktail Classics,Gin,Dry Vermouth,Triple Sec,NA,NA,NA
Smiler Cocktail,Cocktail Classics,Sweet Vermouth,Dry Vermouth,Gin,Bitters,Orange Juice,NA
Smile Cocktail,Cocktail Classics,Grenadine,Gin,Lemon Juice,NA,NA,NA
Amaretto Rose,Cordials and Liqueurs,Amaretto,Fresh lemon juice,Simple Syrup,Soda water,NA,NA
Sand-Martin Cocktail,Cocktail Classics,Green Chartreuse,Sweet Vermouth,Gin,NA,NA,NA
Irish Whiskey Highball,Whiskies,Irish Whiskey,Ginger ale or soda water,Lemon twist (optional),NA,NA,NA
Japanese,Brandy,Brandy,orgeat or almond syrup,Angostura Bitters,Lemon twist,NA,NA
Roselyn Cocktail,Cocktail Classics,Dry Vermouth,Gin,Grenadine,NA,NA,NA
Resolute Cocktail,Cocktail Classics,Juice of a Lemon,Apricot Flavored Brandy,Gin,NA,NA,NA
Racquet Club Cocktail,Cocktail Classics,Gin,Dry Vermouth,Orange Bitters,NA,NA,NA
Amaretto And Cream,Cordials and Liqueurs,Amaretto,half-and-half,NA,NA,NA,NA
Pollyanna Cocktai,Cocktail Classics,Orange,Pineapple,Gin,Sweet Vermouth,Grenadine,NA
Plaza Cocktail,Cocktail Classics,Sweet Vermouth,Dry Vermouth,Gin,NA,NA,NA
Irish Whiskey Cocktail,Whiskies,Irish Whiskey,Triple Sec,Anisette,Maraschino liqueur,Angostura Bitters,Green olive
Absinthe Special Cocktail,Cordials and Liqueurs,Absinthe,Simple Syrup,Orange Bitters,NA,NA,NA
Nineteenth Hole,Cocktail Classics,Gin,Dry Vermouth,Sweet Vermouth,Bitters,NA,NA
Montreal Club Bouncer,Cocktail Classics,Gin,Anisette,NA,NA,NA,NA
Monte Carlo Imperial Highball,Cocktail Classics,Gin,White creme de menthe,Juice of a Lemon,Chilled Champagne,NA,NA
Irish Shillelagh,Whiskies,Irish Whiskey,Light Rum,Sloe gin,Fresh lemon juice,Simple Syrup,"Fresh raspberries and strawberries, 2 peach slices, maraschino cherry"
Melon Cocktail,Cocktail Classics,Gin,Lemon Juice,Maraschino,NA,NA,NA
Martini (Medium),Cocktail Classics,Gin,Dry Vermouth,Sweet Vermouth,NA,NA,NA
Martini (Dry) (5-to-1),Cocktail Classics,Gin,Dry Vermouth,NA,NA,NA,NA
Mamie's Sister,Cocktail Classics,Juice of a Lime,Gin,Ginger ale,NA,NA,NA
Irish Rickey,Whiskies,Irish Whiskey,Fresh Lime Juice,Soda water,Lime wedge,NA,NA
Maiden's Prayer,Cocktail Classics,Gin,Triple Sec,Lemon Juice,NA,NA,NA
Lone Tree Cocktail,Cocktail Classics,Sweet Vermouth,Gin,NA,NA,NA,NA
London Buck,Cocktail Classics,Gin,Juice of a Lemon,Ginger ale,NA,NA,NA
Leap Frog Highball,Cocktail Classics,Juice of a Lemon,Gin,Ginger ale,NA,NA,NA
Incider Cocktail,Whiskies,Rye or bourbon whiskey,Apple cider,Apple slice,NA,NA,NA
Kup's Indispensable Cocktail,Cocktail Classics,Light Vermouth,Dry Vermouth,Gin,Bitters,NA,NA
Knock-Out Cocktail,Cocktail Classics,Anisette,Gin,Dry Vermouth,Creme de Menthe (White),NA,NA
K. G. B. Cocktail,Cocktail Classics,Kummel,Gin,Apricot Flavored Brandy,Lemon Juice,NA,NA
Imperial Fizz,Whiskies,Bourbon or Rye Whiskey,Light Rum,Fresh lemon juice,Simple Syrup,Soda water,NA
Jeyplak Cocktail,Cocktail Classics,Gin,Sweet Vermouth,Anisette,NA,NA,NA
H. P. W. Cocktail,Cocktail Classics,Dry Vermouth,Sweet Vermouth,Gin,NA,NA,NA
I.A.P.,Whiskies,Tennessee whiskey,Fernet-Branca,Cola,NA,NA,NA
Hotel Plaza Cocktail,Cocktail Classics,Sweet Vermouth,Dry Vermouth,Gin,NA,NA,NA
Hoffman House Cocktail,Cocktail Classics,Dry Vermouth,Gin,NA,NA,NA,NA
Hawaiin Cocktail,Cocktail Classics,Gin,Pineapple Juice,Triple Sec,NA,NA,NA
White Russian,Vodka,Vodka,Coffee liqueur,Milk or half-and-half,NA,NA,NA
Greyhound,Cocktail Classics,Gin,Grapefruit Juice,NA,NA,NA,NA
Green Devil,Cocktail Classics,Gin,Green creme de menthe,Lime Juice,NA,NA,NA
Greenback,Cocktail Classics,Gin,Green creme de menthe,Lemon Juice,NA,NA,NA
Grapefruit Cocktail,Cocktail Classics,Grapefruit Juice,Gin,Maraschino,NA,NA,NA
Hotel D'alsace,Whiskies,Fresh rosemary sprig,Irish Whiskey,Benedictine,Triple Sec,NA,NA
Jamaica Granito,Brandy,Brandy,Triple Sec,Lemon or Orange Sherbet,NA,NA,NA
Gin Sling,Cocktail Classics,Powdered Sugar,Water,Juice of a Lemon,Gin,NA,NA
Gin Milk Punch,Cocktail Classics,Powdered Sugar,Gin,Milk,NA,NA,NA
Horse's Neck (With A Kick),Whiskies,Wide spiral of lemon zest,Bourbon whiskey,Ginger ale,NA,NA,NA
Gin and It,Cocktail Classics,Gin,Sweet Vermouth,NA,NA,NA,NA
Gin Cocktail,Cocktail Classics,Gin,Bitters,NA,NA,NA,NA
West Side,Vodka,lemon-flavored vodka,Fresh lemon juice,Simple Syrup,Fresh mint leaves,NA,NA
Gimlet,Cocktail Classics,Lime Juice,Powdered Sugar,Gin,NA,NA,NA
Free Silver,Cocktail Classics,Juice of a Lemon,Powdered Sugar,Gin,Dark rum,Milk,Club Soda
Frankenjack Cocktail,Cocktail Classics,Gin,Dry Vermouth,Apricot Flavored Brandy,Triple Sec,Juice of a Lime,Gin & ginger ale
Fog Horn,Cocktail Classics,Juice of a Lime,Gin & ginger ale,Gin,Triple Sec,NA,NA
Flying Dutchman,Cocktail Classics,Gin,Triple Sec,NA,NA,NA,NA
Hoot Mon Cocktail,Whiskies,Blended Scotch Whiskey,Sweet Vermouth,Benedictine,Lemon twist,NA,NA
Fifty-Fifty Cocktail,Cocktail Classics,Gin,Dry Vermouth,NA,NA,NA,NA
Favorite Cocktail,Cocktail Classics,Apricot Flavored Brandy,Dry Vermouth,Gin,Lemon Juice,NA,NA
Farmer's Cocktail,Cocktail Classics,Gin,Dry Vermouth,Sweet Vermouth,Bitters,NA,NA
Warsaw Cocktail,Vodka,Vodka,Blackberry-flavored brandy,Dry Vermouth,Fresh lemon juice,NA,NA
Emerald Isle Cocktail,Cocktail Classics,Gin,Green creme de menthe,Bitters,NA,NA,NA
Du Barry Cocktail,Cocktail Classics,Bitters,Dry Vermouth,Anisette,Gin,NA,NA
Dry Martini (5-to-1),Cocktail Classics,Gin,Dry Vermouth,NA,NA,NA,NA
Dixie Cocktail,Cocktail Classics,Juice of Orange,Anisette,Dry Vermouth,Gin,NA,NA
Delmonico No. 2,Cocktail Classics,Orange Bitters,Dry Vermouth,Gin,NA,NA,NA
Hole-In-One,Whiskies,Blended Scotch Whiskey,Dry Vermouth,Fresh lemon juice,Orange Bitters,NA,NA
Vodka Stinger,Vodka,Vodka,White creme de menthe,NA,NA,NA,NA
Caruso,Cocktail Classics,Gin,Dry Vermouth,Green creme de menthe,NA,NA,NA
Bulldog Highball,Cocktail Classics,Juice of Orange,Gin,Ginger ale,NA,NA,NA
Brown Cocktail,Cocktail Classics,Gin,Light Rum,Dry Vermouth,NA,NA,NA
Bronx Terrace Cocktail,Cocktail Classics,Gin,Dry Vermouth,Juice of a Lime,NA,NA,NA
Bronx Cocktail (Dry),Cocktail Classics,Gin,Dry Vermouth,Juice of Orange,NA,NA,NA
Hill Dog,Whiskies,White whiskey,Grand Marnier,Dry Sherry,Lavender Syrup,NA,NA
Blue Devil Cocktail,Cocktail Classics,Gin,Juice of Lemon or Lime,Maraschino,Blue curacao,NA,NA
Blue Canary,Cocktail Classics,Gin,Grapefruit Juice,Blue curacao,NA,NA,NA
Blue Bird,Cocktail Classics,Gin,Triple Sec,Bitters,NA,NA,NA
Bloodhound Cocktail,Cocktail Classics,Dry Vermouth,Sweet Vermouth,Gin,NA,NA,NA
Billy Taylor,Cocktail Classics,Juice of a Lime,Gin,Club Soda,NA,NA,NA
Bijou Cocktail,Cocktail Classics,Gin,Green Chartreuse,Sweet Vermouth,Orange Bitters,NA,NA
Bermuda Rose,Cocktail Classics,Gin,Apricot Flavored Brandy,Grenadine,NA,NA,NA
Vodka Sour,Vodka,Vodka,Vodka,Fresh lemon juice,Simple Syrup,NA,NA
Apricot Anisette Collins,Cocktail Classics,Gin,Apricot Flavored Brandy,Anisette,Lemon Juice,NA,NA
Alexander's Sister Cocktail,Cocktail Classics,Dry gin,Green creme de menthe,Light cream,NA,NA,NA
Highland Cooler,Whiskies,Blended Scotch Whiskey,Simple Syrup,Soda water or ginger ale,Lemon and/or orange zest spiral(s),NA,NA
Alexander Cocktail No. 1,Cocktail Classics,Gin,Creme de Cacao (White),Light cream,NA,NA,NA
Adam and Eve,Cocktail Classics,Forbidden Fruit,Gin,Brandy,Lemon Juice,NA,NA
Vodka Sling,Vodka,Vodka,Fresh lemon juice,Simple Syrup,Orange twist,NA,NA
Jack Rose Cocktail,Brandy,Applejack,Fresh Lime Juice,Grenadine,NA,NA,NA
Tempter Cocktail,Cocktail Classics,Port,Apricot Flavored Brandy,NA,NA,NA,NA
Special Rough Cocktail,Cocktail Classics,Apple Brandy,Brandy,Anisette,NA,NA,NA
Vodka Grasshopper,Vodka,Vodka,Green creme de menthe,White creme de cacao,half-and-half,NA,NA
Singapore Sling,Cocktail Classics,Juice of a Lemon,Powdered Sugar,Gin,Club Soda,cherry-flavored brandy,NA
Saratoga Cocktail,Cocktail Classics,Brandy,Bitters,Lemon Juice,Pineapple Juice,Maraschino,NA
High Cotton,Whiskies,Straight rye whiskey,Pimm's No. 1 Cup,Dubonnet Rouge,Peach bitters,NA,NA
Polonaise,Cocktail Classics,Brandy,Blackberry-flavored brandy,Dry Sherry,Lemon Juice,NA,NA
Vodka Gimlet,Vodka,Vodka,Fresh Lime Juice,Simple Syrup,NA,NA,NA
Merry Widow Cocktail No. 2,Cocktail Classics,Maraschino,cherry-flavored brandy,NA,NA,NA,NA
Lugger,Cocktail Classics,Brandy,Apple Brandy,Apricot Flavored Brandy,NA,NA,NA
Jamaica Hop,Cocktail Classics,Coffee-flavored brandy,Creme de Cacao (White),Light cream,NA,NA,NA
Hebrides,Whiskies,Single-malt Scotch whisky,Maraschino liqueur,Triple Sec,Apple juice,Fresh lemon juice,Angostura Bitters
Hennessy Martini,Cocktail Classics,Hennessy V.S Cognac,Lemon Juice,NA,NA,NA,NA
Vodka Daisy,Vodka,Vodka,Fresh lemon juice,Simple Syrup,Grenadine,NA,NA
Heavenly Dram,Whiskies,Single-malt Scotch whisky,Pedro Ximenez sherry,Fresh lemon juice,Honey Syrup,NA,NA
Classic Cocktail,Cocktail Classics,Juice of a Lemon,Curacao,Maraschino,Brandy,NA,NA
Cherry Sling,Cocktail Classics,cherry-flavored brandy,Juice of a Lemon,NA,NA,NA,NA
Cherry Fizz,Cocktail Classics,Juice of a Lemon,cherry-flavored brandy,Club Soda,NA,NA,NA
Vodka Cooler,Vodka,Vodka,Simple Syrup,Soda water or ginger ale,Orange and/or lemon zest spiral,NA,NA
Carrol Cocktail,Cocktail Classics,Brandy,Sweet Vermouth,NA,NA,NA,NA
Button Hook Cocktail,Cocktail Classics,Creme de Menthe (White),Apricot Flavored Brandy,Anisette,Brandy,NA,NA
Bull's Eye,Cocktail Classics,Brandy,Hard cider,NA,NA,NA,NA
Brantini,Cocktail Classics,Brandy,Gin,Dry Vermouth,NA,NA,NA
Heather's Kiss,Whiskies,Blended Scotch Whiskey,Fresh lemon juice,Agave nectar,Absinthe,NA,NA
Brandy Squirt,Cocktail Classics,Brandy,Powdered Sugar,Grenadine,Club Soda,NA,NA
Brandy and Soda,Cocktail Classics,Brandy,Club Soda,NA,NA,NA,NA
Brandy Milk Punch,Cocktail Classics,Powdered Sugar,Brandy,Milk,NA,NA,NA
Vodka Collins,Vodka,Vodka,Fresh lemon juice,Simple Syrup,Soda water,NA,NA
Brandy Crusta Cocktail,Cocktail Classics,Maraschino,Bitters,Lemon Juice,Triple Sec,Brandy,NA
Heather Blush,Whiskies,Blended Scotch Whiskey,Strawberry liqueur,Chilled sparkling wine,Whole strawberry,NA,NA
Jack Maples,Brandy,Applejack,maple syrup (grade B or medium-amber),Aromatic bitters,Cinnamon stick,NA,NA
Brandy Alexander,Cocktail Classics,Creme de Cacao (Brown),Brandy,Heavy cream,NA,NA,NA
Vodka and Tonic,Vodka,Vodka,Tonic water,Lemon or lime wedge,NA,NA,NA
Apricot Cocktail,Cocktail Classics,Juice of a Lemon,Juice of Orange,Apricot Flavored Brandy,Gin,NA,NA
Alexander Cocktail No. 2,Cocktail Classics,Creme de Cacao (White),Brandy,Light cream,NA,NA,NA
After Dinner Cocktail,Cocktail Classics,Apricot Flavored Brandy,Triple Sec,Juice of a Lime,NA,NA,NA
Harvest Moon,Whiskies,Straight rye whiskey,Lillet Blanc,Apple Brandy,Green Chartreuse,Angostura Bitters,Orange twist
Red Raider,Cocktail Classics,Bourbon,Triple Sec,Lemon Juice,Grenadine,NA,NA
Vodka and Apple Juice,Vodka,Vodka,Apple juice,NA,NA,NA,NA
Mint Julep (Southern Style),Cocktail Classics,springs mint,Powdered Sugar,Water,Bourbon,NA,NA
Limestone,Cocktail Classics,Bourbon,Collins Mix,Lime Juice,NA,NA,NA
Grounds For Divorce,Whiskies,Straight rye whiskey,Kirschwasser,Cynar,Amaro,NA,NA
Gentleman's Cocktail,Cocktail Classics,Bourbon,Brandy,Creme de Menthe,Club Soda,NA,NA
Dixie Julep,Cocktail Classics,Powdered Sugar,Bourbon,NA,NA,NA,NA
Victory Collins,Vodka,Vodka,Unsweetened Grape Juice,Fresh lemon juice,Simple Syrup,NA,NA
Buddy's Favorite,Cocktail Classics,Bourbon,Cold Water,NA,NA,NA,NA
Bourbon On The Rocks,Cocktail Classics,Bourbon,NA,NA,NA,NA,NA
Bourbon Cobbler,Cocktail Classics,Bourbon,Lemon Juice,Grapefruit Juice,Almond extract,NA,NA
Bourbon and Water,Cocktail Classics,Bourbon,Water,NA,NA,NA,NA
Greenpoint,Whiskies,Straight rye whiskey,Yellow Chartreuse,Sweet Vermouth,Angostura Bitters,Orange Bitters,Lemon twist
Yellowjacket,Non-alcoholic Drinks,Pineapple Juice,Orange Juice,Lemon Juice,NA,NA,NA
Velvet Peach Hammer,Vodka,Vodka,Peach schnapps,Simple Syrup,Fresh lemon juice,NA,NA
Grandfather,Whiskies,Bourbon whiskey,Applejack,Sweet Vermouth,Angostura Bitters,Peychaud's Bitters,Maraschino cherry
Goldrush,Whiskies,Bourbon whiskey,Fresh lemon juice,Honey Syrup,NA,NA,NA
Sake Martini,Cocktail Classics,Sake,Mr. Boston Gin,NA,NA,NA,NA
Godfather,Whiskies,Blended Scotch Whiskey,Amaretto,NA,NA,NA,NA
Jack-In-The-Box,Brandy,Applejack,Pineapple Juice,Angostura Bitters,NA,NA,NA
Saronno,Cocktail Classics,Amaretto di Saronno,Mr. Boston Five Star Brandy,Light cream,NA,NA,NA
Saronno Colada (Nutty Colada),Cocktail Classics,Amaretto di Saronno,Coconut Milk,Crushed Pineapple,NA,NA,NA
Saronno Mist,Cocktail Classics,Amaretto di Saronno,NA,NA,NA,NA,NA
Saronno Rose,Cocktail Classics,Amaretto di Saronno,Roses Lime Juice,Club Soda,NA,NA,NA
Gilchrist,Whiskies,Blended Scotch Whiskey,Pear brandy,Grapefruit Juice,Amaro,Grapefruit bitters,Lemon twist
Frisco Sour,Whiskies,Bourbon or Rye Whiskey,Fresh lemon juice,Fresh Lime Juice,Benedictine,Lemon and lime wheels,NA
Fratelli Cocktail,Whiskies,Straight rye whiskey,Sweet Vermouth,Yellow Chartreuse,Fernet-Branca,NA,NA
Francis The Mule,Whiskies,Bourbon whiskey,Coffee liqueur,Fresh lemon juice,orgeat or almond syrup,Orange Bitters,Lemon twist
Fox River Cocktail,Whiskies,Bourbon or Rye Whiskey,Dark creme de cacao,Angostura Bitters,NA,NA,NA
Flying Scotchman,Whiskies,Blended Scotch Whiskey,Sweet Vermouth,Angostura Bitters,Simple Syrup,NA,NA
The Final Ward,Whiskies,Straight rye whiskey,Maraschino liqueur,Green Chartreuse,Fresh lemon juice,NA,NA
Martini,Cocktail Classics,Mr. Boston Gin,Dry Vermouth,NA,NA,NA,NA
Fancy Whiskey,Whiskies,Bourbon or rye whiskey,Angostura Bitters,Triple Sec,Simple Syrup,Lemon twist,NA
Mandarine Sour,Cocktail Classics,Mandarine Napoleon Liqueur,Lemon Juice,NA,NA,NA,NA
Mandarine Mist,Cocktail Classics,Mandarine Napoleon Liqueur,NA,NA,NA,NA,NA
Underneath The Mango Tree,Vodka,"Lime wedge, Sweet Chili Powder",Mango-flavored vodka,Peach liqueur,Fresh Lime Juice,Simple Syrup,Ginger ale
Fancy-Free Cocktail,Whiskies,Bourbon whiskey,Maraschino liqueur,Angostura Bitters,Orange Bitters,NA,NA
Honeymoon Cocktail,Brandy,Apple Brandy,Benedictine,Fresh lemon juice,Triple Sec,NA,NA
Twister,Vodka,Vodka,Fresh Lime Juice,Lime wedge,Lemon-lime soda,NA,NA
Everybody's Irish Cocktail,Whiskies,Irish Whiskey,Green creme de menthe,Green Chartreuse,Green olive,NA,NA
Trident,Vodka,Aquavit or vodka,Cynar,Dry Sherry,Peach bitters,NA,NA
Top Banana,Vodka,Vodka,Creme de banana,Orange juice,NA,NA,NA
Emperor Norton's Mistress,Whiskies,"Fresh strawberries, cut in halves",Bourbon whiskey,Vanilla liqueur,Triple Sec,NA,NA
Easterner,Whiskies,Straight rye whiskey,Fresh grapefruit juice,Maple Syrup,Grapefruit twist,NA,NA
Toasted Drop,Vodka,"Lemon wedge, Cinnamon Sugar",Citrus-flavored vodka,Limoncello,Amaretto,Fresh lemon juice,Egg White
Eastern Sour,Whiskies,Bourbon whiskey,Orange juice,Fresh Lime Juice,orgeat or almond syrup,Simple Syrup,Orange and lime wheels
K. C. B. Cocktail,Cocktail Classics,Kummel,Mr. Boston Gin,Mr. Boston Apricot Flavored Brandy,Lemon Juice,NA,NA
Easter Elchies,Whiskies,Single-malt Scotch whisky,Cherry Heering,Punt e Mes,Orange Bitters,NA,NA
Dufftown Flip,Whiskies,Blended Scotch Whiskey,Port,Demerara Syrup,Almond milk,Whole Egg,Freshly grated nutmeg
Harvard Cooler,Brandy,Apple Brandy,Simple Syrup,Soda water or ginger ale,Orange and/or lemon zest spiral,NA,NA
The Duboudreau Cocktail,Whiskies,Straight rye whiskey,Dubonnet Rouge,Fernet-Branca,Elderflower liqueur,NA,NA
Irish Whisky,Cocktail Classics,Mr. Boston Triple Sec,Absinthe Substitute,Maraschino,Bitters,Irish Whiskey,NA
Dubliner,Whiskies,Irish Whiskey,Sweet Vermouth,Grand Marnier,Orange Bitters,NA,NA
Double Standard Sour,Whiskies,Rye or bourbon whiskey,Gin,Fresh lemon juice,White creme de menthe,Grenadine,Simple Syrup
Dixie Whiskey Cocktail,Whiskies,Bourbon whiskey,White creme de menthe,Triple Sec,Simple Syrup,Angostura Bitters,NA
Hill Billy Highball,Cocktail Classics,Georgia Moon Corn Whiskey,Mountain Dew,NA,NA,NA,NA
The Titian,Vodka,Orange-flavored vodka,Grand Marnier,Passion Fruit Juice,Fresh Lime Juice,Pomegranate syrup,Fresh raspberry
Tiger Tanaka,Vodka,Fresh cilantro leaves,Slice peeled fresh ginger,Citrus-flavored vodka,Limoncello,Pineapple Juice,NA
Grenadine Rickey,Cocktail Classics,Juice of a Lime,Grenadine,NA,NA,NA,NA
Thyme Collins,Vodka,Citrus-flavored vodka,Mint syrup,Fresh lemon juice,Thyme sprig,Bitter lemon soda,Long thyme sprigs
Tabby Cat,Vodka,Dubonnet Rouge,Orange-flavored vodka,Orange Bitters,Lemon twist,NA,NA
God Child,Cocktail Classics,Amaretto di Saronno,Mr. Boston Vodka,Heavy cream,NA,NA,NA
Sweet Maria,Vodka,Vodka,Amaretto,half-and-half,NA,NA,NA
Dirty Harry,Whiskies,Absinthe,Straight rye whiskey,Sweet Vermouth,Maraschino liqueur,NA,NA
Harvard Cocktail,Brandy,Brandy,Sweet Vermouth,Fresh lemon juice,Grenadine,Angostura Bitters,NA
Gin and Milk Punch,Cocktail Classics,Powdered Sugar,Mr. Boston Gin,Milk,NA,NA,NA
Surf Rider,Vodka,Vodka,Sweet Vermouth,Fresh orange juice,Fresh lemon juice,Grenadine,"Orange half-wheel, maraschino cherry"
Dinah Cocktail,Whiskies,Bourbon whiskey,Fresh lemon juice,Simple Syrup,Fresh mint leaf,NA,NA
Tea Saronno,Cocktail Classics,Hot Tea,Amaretto di Saronno,Whipped cream,NA,NA,NA
The Summer Of Love,Vodka,Orange-flavored vodka,Rose water,Lillet Blanc,Black raspberry liqueur,NA,NA
Devil's Soul,Whiskies,Straight rye whiskey,Mezcal,Amaro,Aperol,Elderflower liqueur,"Orange twist, flamed"
Deshler,Whiskies,Straight rye whiskey,Dubonnet Rouge,Triple Sec,Angostura Bitters,NA,NA
T.N.T. No. 1,Cocktail Classics,Old Thompson Blended Whiskey,Absinthe Substitute,NA,NA,NA,NA
Stupid Cupid,Vodka,Citrus-flavored vodka,Sloe gin,Simple Syrup,Fresh lemon juice,NA,NA
Derby,Whiskies,Bourbon whiskey,Benedictine,Angostura Bitters,Lemon twist,NA,NA
Stockholm 75,Vodka,"Lemon wedge, superfine sugar",Citrus-flavored vodka,Simple Syrup,Fresh lemon juice,Chilled Champagne,NA
The Delmarva Cocktail,Whiskies,Straight rye whiskey,Dry Vermouth,White creme de menthe,Fresh lemon juice,NA,NA
Sputnik,Vodka,Vodka,Peach schnapps,Fresh orange juice,half-and-half,NA,NA
Gotham,Brandy,Absinthe or pastis,Brandy,Peach bitters,Lemon twist,NA,NA
De La Louisiane,Whiskies,Straight rye whiskey,Sweet Vermouth,Benedictine,Absinthe or pastis,Peychaud's Bitters,Maraschino cherry
The Debonair,Whiskies,Single-malt Scotch whisky,Ginger liqueur,Lemon twist,NA,NA,NA
Soviet,Vodka,Vodka,Amontillado sherry,Dry Vermouth,Lemon twist,NA,NA
Daisy Dueller,Whiskies,Tennessee whiskey,Fresh lemon juice,Simple Syrup,Triple Sec,NA,Orange and lemon wheels
Sonic Blaster,Vodka,Vodka,Light Rum,Creme de banana,Pineapple Juice,Orange juice,Cranberry Juice
Creole Lady,Whiskies,Bourbon whiskey,Madeira,Grenadine,Maraschino cherry,NA,NA
Rum Coooler,Cocktail Classics,powdered sugar,carbonated water,Mr. Boston Rum,ginger ale,NA,NA
Siberian Sleighride,Vodka,Vodka,White creme de cacao,White creme de menthe,half-and-half,NA,NA
Cotton Club Flip,Whiskies,Vanilla-Infused Bourbon,Honey-Currant Syrup,Fresh Lime Juice,Egg White,Rhubarb bitters,Stick of cotton candy
Golden Dawn,Brandy,Apple Brandy,Apricot-Flavored Brandy,Gin,Fresh orange juice,Grenadine,NA
Sidecar,Cocktail Classics,Cognac,Triple Sec,Fresh lemon juice,Vodka,Madeira,Fresh orange juice and orange wheel
Shalom,Vodka,Vodka,Madeira,Fresh orange juice and orange wheel,Bourbon Whiskey,White creme de cacao,Fresh lemon juice
Commodore Cocktail,Whiskies,Bourbon Whiskey,White creme de cacao,Fresh lemon juice,Grenadine,NA,NA
Sea Breeze,Vodka,Vodka,Cranberry Juice,Fresh grapefruit juice,Lime wedge,NA,NA
Screwdriver,Vodka,Vodka,Orange juice,NA,NA,NA,NA
Coffee Old-Fashioned,Whiskies,Bourbon whiskey,Simple Syrup,Angostura Bitters,Cold brewed coffee,Soda water,"Orange wheel, maraschino cherry"
Dry Martini,Cocktail Classics,Mr. Boston Gin,Dry Vermouth,NA,NA,NA,NA
Salty Dog,Vodka,"Lemon wedge, coarse salt",Vodka,Grapefruit Juice,NA,NA,NA
Dr. Cook,Cocktail Classics,Mr. Boston Gin,Lemon Juice,Maraschino,Egg White,NA,NA
Dillatini Cocktail,Cocktail Classics,Mr. Boston Gin,Dry Vermouth,NA,NA,NA,NA
Chi-Town Flip,Whiskies,Bourbon whiskey,Tawny port,Fresh lemon juice,Vanilla liqueur and 3 oz,Simple Syrup,Whole Egg and grated nutmet
Chef's Pain,Vodka,Bourbon whiskey,Fresh Lime Juice,Blackberry liqueur,B & B,NA,NA
Sampan Shipwreck A,Vodka,Vodka,Orange liqueur,Canned coconut milk,Cold brewed chai tea,orgeat or almond syrup,Pineapple wedge
Chas,Whiskies,Bourbon whiskey,Amaretto,Benedictine,Triple Sec,Orange curacao,Orange twist
Goat's Delight,Brandy,Brandy,Kirschwasser,half-and-half,orgeat or almond syrup,Absinthe or pastis,NA
Russian Bear Cocktail,Vodka,Vodka,White creme de cacao,half-and-half,NA,NA,NA
Character Development,Whiskies,Scotch Whiskey,Coconut liqueur,Dry Sherry,Grapefruit bitters,NA,NA
Ruby Red,Vodka,Grapefruit-flavored vodka,Triple Sec,Fresh ruby red grapefruit juice,Fresh orange juice,NA,NA
Chaplin,Whiskies,Bourbon whiskey,Dry Sherry,Ramazzotti Amaro,Triple Sec,Orange Bitters,Lemon twist
Rouxby Red,Vodka,"For glass Lemon wedge, coarse salt",Grapefruit-flavored vodka,Fresh lemon juice,Grapefruit Juice,Campari,Simple Syrup
Rosemary Clementine Sparkle,Vodka,Clementine or mandarin orange,Vodka,Fresh lemon juice,Honey Syrup,Fresh rosemary sprig,Chilled sparkling wine or Champagne
Chapel Hill,Whiskies,Bourbon whiskey,Triple Sec,Fresh lemon juice,Orange twist,NA,NA
Robin's Nest,Vodka,Vodka,Cranberry Juice,White creme de cacao,NA,NA,NA
Chancellor Cocktail,Whiskies,Blended Scotch Whiskey,Dry Vermouth,Tawny port,Peychaud's Bitters,NA,NA
Cafe di Saronno,Cocktail Classics,Amaretto di Saronno,Hot Black Coffee,NA,NA,NA,NA
Carre Reprise,Whiskies,Straight rye whiskey,Cognac,Sweet Vermouth,Elderflower liqueur,Angostura Bitters,Peychaud's Bitters
Gilroy Cocktail,Brandy,cherry-flavored brandy,Gin,Dry Vermouth,Fresh lemon juice,Orange Bitters,NA
Redhead Martini,Vodka,"Strawberries, cut into halves",Fresh lemon juice,Simple Syrup,Citrus-flavored vodka,Chilled Moscato d'Asti or sweet sparkling wine,Strawberry
Red Apple,Vodka,Vodka,Apple juice,Fresh lemon juice,Grenadine,NA,NA
Canal Street Daisy,Whiskies,Blended Scotch Whiskey,Orange juice,Fresh lemon juice,Soda water,Orange wheel,NA
Canadian Cocktail,Whiskies,Canadian whisky,Triple Sec,Simple Syrup,Angostura Bitters,NA,NA
Purple Ruby,Vodka,Vodka,Pomegranate juice,Grapefruit Juice,Fresh Lime Juice,Honey Syrup,Grapefruit twist
